%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
552780500.000000000	0.034098539	0.001948791	130.833812410	3.275661125	0.981432158	0.002128915	-177.716801645	0.133984071	0.981496258	0.002129056	-177.722023618	0.133984126	0.026379835	0.001924679	86.663085627	4.181063169
566946666.666667000	0.029867308	0.001950320	-140.674708119	3.742873376	0.981178635	0.002130353	176.998738048	0.134280751	0.981223492	0.002130452	176.996113860	0.134280834	0.020822382	0.001922699	-83.275908681	5.289523170
581112833.333333000	0.070334806	0.001939668	-117.218051268	1.581525754	0.978771664	0.002129482	171.729427033	0.134653868	0.978822392	0.002129593	171.726522303	0.134653890	0.067084375	0.001909704	-94.466144817	1.632121383
595279000.000000000	0.114478746	0.001928326	-115.364695217	0.965866220	0.974315862	0.002145015	166.485271812	0.136307613	0.974363987	0.002145112	166.483548595	0.136307109	0.112604604	0.001895308	-100.758804429	0.966003383
609445166.666667000	0.158108219	0.001896333	-117.453338067	0.689802641	0.967974439	0.002155419	161.296511900	0.137855171	0.968022166	0.002155520	161.293660333	0.137854700	0.156848198	0.001870097	-106.347416100	0.685956760
623611333.333333000	0.200264053	0.001862026	-120.833378069	0.535394269	0.959994881	0.002160595	156.177430487	0.139259684	0.960040721	0.002160691	156.173919320	0.139259394	0.199327291	0.001831440	-111.666907702	0.528855163
637777500.000000000	0.240301277	0.001809520	-124.750297858	0.434626527	0.950705448	0.002151863	151.147668332	0.139938356	0.950758409	0.002151972	151.141883040	0.139937705	0.239555396	0.001781870	-116.808857077	0.429424447
651943666.666667000	0.277836993	0.001760599	-128.911950243	0.366751840	0.940339343	0.002144548	146.207779167	0.140757231	0.940390424	0.002203216	146.206007477	0.144787400	0.277247696	0.001729668	-121.794978491	0.361221373
666109833.333333000	0.312612746	0.001724688	-133.176557151	0.320799784	0.929293915	0.002185930	141.384414550	0.145225157	0.929329451	0.002186002	141.381376954	0.145224469	0.312164323	0.001699578	-126.639286277	0.316804614
680276000.000000000	0.344390008	0.001693625	-137.469958174	0.287478706	0.917980751	0.002183445	136.669714057	0.146711022	0.918020940	0.002183542	136.667478029	0.146711256	0.344012749	0.001667481	-131.355883483	0.283590826
694442166.666667000	0.373037337	0.001646866	-141.744113904	0.259346434	0.906666119	0.002183360	132.065047319	0.148426522	0.906711824	0.002183467	132.064251432	0.148426132	0.372727358	0.001623295	-135.939816226	0.255967081
708608333.333333000	0.398741718	0.001609579	-145.983084755	0.238360521	0.895567431	0.002211909	127.564488323	0.152195224	0.895604919	0.002211965	127.561287803	0.152193302	0.398525370	0.001582524	-140.406758107	0.234584812
722774500.000000000	0.421576008	0.001573983	-150.176453939	0.221773208	0.884950007	0.002221191	123.168309582	0.154612419	0.884972776	0.002221211	123.164543400	0.154609030	0.421450238	0.001558972	-144.759662860	0.219931492
736940666.666667000	0.441628536	0.001528569	-154.298734109	0.206304250	0.875062535	0.002193224	118.863676358	0.154254805	0.875094533	0.002193275	118.860115953	0.154253320	0.441551288	0.001508371	-148.994449630	0.203809835
751106833.333333000	0.458898402	0.001464563	-158.348126237	0.191174424	0.865994684	0.002170138	114.646655159	0.154227821	0.866034299	0.002170230	114.643879595	0.154227065	0.458887238	0.001449281	-153.121798686	0.189361054
765273000.000000000	0.473508568	0.001441196	-162.346745079	0.183309755	0.857895546	0.002189728	110.505433920	0.157142587	0.857912620	0.002189757	110.502894683	0.157142013	0.473558346	0.001435255	-157.166876423	0.182781685
