%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
821937666.666667000	0.351599671	0.002231631	-144.886007983	0.400622881	0.934284657	0.001312817	124.437723571	0.215029858	0.934455514	0.001313031	124.432032155	0.215029397	0.351524643	0.002233281	-146.343455561	0.393376819
836103833.333333000	0.367315703	0.002247204	-148.747160725	0.389668470	0.928199843	0.001330795	120.570307654	0.217889718	0.928360136	0.001331006	120.564515530	0.217889567	0.367264815	0.002248072	-150.188918988	0.381877305
850270000.000000000	0.381180161	0.002259601	-152.569833077	0.380864410	0.922586092	0.001346743	116.752389748	0.220695281	0.922728818	0.001346947	116.747007599	0.220695176	0.381149295	0.002259928	-153.992261189	0.372603267
864436166.666667000	0.393182185	0.002268898	-156.357068789	0.373837509	0.917519500	0.001362979	112.980788477	0.223496310	0.917672780	0.001363207	112.976949497	0.223496380	0.393171494	0.002270244	-157.758987728	0.365344143
878602333.333333000	0.403372314	0.002278092	-160.109254721	0.368634944	0.913085909	0.001379067	109.248942693	0.226278153	0.913225135	0.001379274	109.242239763	0.226278155	0.403365174	0.002278266	-161.491120262	0.359664387
892768500.000000000	0.411819396	0.002285440	-163.820249798	0.364755898	0.909293093	0.001392473	105.547473471	0.228977560	0.909440492	0.001392686	105.541649191	0.228977362	0.411803118	0.002285894	-165.189030718	0.355528855
906934666.666667000	0.418572350	0.002291991	-167.494845769	0.362130239	0.906172978	0.001401781	101.878005649	0.231555300	0.906328932	0.001402000	101.872413162	0.231554848	0.418546319	0.002292470	-168.865012189	0.352640330
921100833.333333000	0.423624876	0.002297172	-171.143978288	0.360574066	0.903782455	0.001407469	98.232066746	0.234020837	0.903928426	0.001407673	98.226623043	0.234020297	0.423587561	0.002297604	-172.534633924	0.350836919
935267000.000000000	0.426946019	0.002300224	-174.777553463	0.359935775	0.902193269	0.001410804	94.599110998	0.236401132	0.902328366	0.001410994	94.592651460	0.236400712	0.426894984	0.002300243	-176.201798636	0.349932012
949433166.666667000	0.428517379	0.002300772	-178.390403180	0.360130098	0.901461525	0.001412593	90.973088068	0.238713986	0.901584368	0.001412767	90.967452832	0.238713484	0.428452500	0.002300502	-179.856792931	0.349896532
963599333.333333000	0.428388434	0.002299051	178.007879810	0.361123793	0.901525293	0.001412998	87.347095332	0.240967375	0.901676151	0.001413218	87.342131210	0.240966938	0.428296482	0.002298837	176.502028222	0.350731905
977765500.000000000	0.426566353	0.002295452	174.402057923	0.362948983	0.902355911	0.001412022	83.716709849	0.243163313	0.902506969	0.001412236	83.712144625	0.243162748	0.426484226	0.002296039	172.864386907	0.352486771
991931666.666667000	0.423055985	0.002291646	170.779360819	0.365808026	0.903988210	0.001409476	80.077940749	0.245298275	0.904134778	0.001409674	80.072996988	0.245297575	0.423022698	0.002292006	169.214031774	0.355161824
1006097833.333330000	0.417777654	0.002287551	167.133613088	0.369784515	0.906454107	0.001404542	76.426054963	0.247355780	0.906608812	0.001404747	76.421515681	0.247354971	0.417808006	0.002287742	165.538757661	0.358982606
1020264000.000000000	0.410685366	0.002282586	163.466645095	0.374920154	0.909689006	0.001396228	72.754421059	0.249320819	0.909851390	0.001396433	72.749495780	0.249320480	0.410761882	0.002282109	161.832556868	0.363946281
1034430166.666670000	0.401811863	0.002275274	159.784291900	0.381133520	0.913628054	0.001384520	69.052722660	0.251201579	0.913784222	0.001384736	69.045227036	0.251201023	0.401919075	0.002274015	158.094223463	0.370008409
1048596333.333330000	0.391246908	0.002264821	156.080007105	0.388409424	0.918216788	0.001370513	65.310092572	0.253030856	0.918356791	0.001370702	65.303714717	0.253030481	0.391355921	0.002263082	154.317858149	0.377214243
1062762500.000000000	0.378966241	0.002251353	152.342800638	0.396964626	0.923325509	0.001355192	61.527665259	0.254838289	0.923475479	0.001355406	61.522155842	0.254837684	0.379072500	0.002249500	150.493096038	0.385778737
1076928666.666670000	0.364897445	0.002235691	148.567279219	0.407219195	0.928951636	0.001338643	57.702251937	0.256628588	0.929086164	0.001338816	57.697503054	0.256628168	0.365009517	0.002234016	146.612423579	0.396115106
1091094833.333330000	0.348957682	0.002209683	144.750743958	0.418706801	0.935025162	0.001365676	53.827693574	0.260014487	0.935163613	0.001282599	53.822007993	0.257415147	0.349089978	0.002225435	142.680701154	0.410130778
1105261000.000000000	0.331139556	0.002201845	140.899739186	0.435328181	0.941455702	0.001297455	49.898444990	0.260101519	0.941606303	0.001297646	49.892613669	0.260100820	0.331301960	0.002199654	138.703150010	0.424376292
1119427166.666670000	0.311508248	0.002183439	137.011298003	0.454478903	0.948088518	0.001271882	45.915643123	0.261787047	0.948253044	0.001272084	45.909587343	0.261786715	0.311682659	0.002180436	134.671215193	0.443596514
1133593333.333330000	0.290107960	0.002162849	133.076639347	0.478165428	0.954806923	0.001243968	41.877998597	0.263466521	0.954957729	0.001244149	41.871340055	0.263466492	0.290293905	0.002159042	130.565697181	0.467387503
1147759500.000000000	0.266960009	0.002139749	129.093592249	0.507934016	0.961504588	0.001214507	37.782570802	0.265160321	0.961653318	0.001214689	37.775820179	0.265160226	0.267147899	0.002135780	126.369997032	0.497429575
1161925666.666670000	0.242079182	0.002115616	125.078410035	0.546582077	0.968031124	0.001184008	33.631016586	0.266880232	0.968184511	0.001184190	33.625018152	0.266880130	0.242249642	0.002111162	122.084365257	0.536370491
1176091833.333330000	0.215559871	0.002091442	121.070043744	0.598322727	0.974209447	0.001153372	29.423869922	0.268642170	0.974377292	0.001153559	29.418445488	0.268642006	0.215699569	0.002086865	117.724078169	0.588572015
1190258000.000000000	0.187586016	0.002068728	117.113428036	0.670194436	0.979906881	0.001124035	25.164660524	0.270466077	0.980068030	0.001124203	25.160230579	0.270465910	0.187712554	0.002063938	113.289454295	0.660895455
1204424166.666670000	0.158327498	0.002048403	113.236755173	0.774825237	0.984964505	0.001096755	20.857528219	0.272358566	0.985119549	0.001096916	20.851534770	0.272358421	0.158462068	0.002043203	108.738643997	0.765813412
1218590333.333330000	0.127942550	0.002031024	109.509859891	0.937597836	0.989269942	0.001071650	16.510033122	0.274316753	0.989417566	0.001071814	16.503138056	0.274316594	0.128075251	0.002025172	103.990980797	0.928591350
1232756500.000000000	0.096600648	0.002016222	106.121301037	1.217736462	0.992722060	0.000985534	12.128794118	0.275558600	0.992871406	0.000985689	12.122228881	0.275558678	0.096673994	0.002009887	98.906695371	1.208814598
1246922666.666670000	0.064555149	0.002004032	103.702019689	1.793533130	0.995215590	0.000807841	7.722991929	0.277942932	0.995378666	0.000729334	7.715791597	0.275618998	0.064502344	0.002000851	93.130794587	1.789433867
1261088833.333330000	0.032267145	0.001998486	105.322893820	3.556360057	0.996698011	0.000721570	3.293750653	0.277581273	0.996842551	0.000721680	3.285873764	0.277581273	0.031948707	0.001992496	84.713377535	3.579413905
1275255000.000000000	0.006858183	0.001998803	-170.031736780	16.700397152	0.997099503	0.000718195	-1.138096751	0.279945174	0.997240217	0.000718293	-1.145407377	0.279945174	0.004473354	0.001992727	-17.937614058	25.524175987
1289421166.666670000	0.034872225	0.002003130	-106.699536891	3.299799977	0.996407368	0.000726064	-5.568363371	0.282411556	0.996566925	0.000812100	-5.575590146	0.283184859	0.034349582	0.001997444	-89.210001483	3.338599264
1303587333.333330000	0.067228772	0.002012082	-105.746190023	1.731567506	0.994662326	0.000743314	-9.988582657	0.284965137	0.994831469	0.000743437	-9.996330418	0.284965058	0.066852100	0.002007160	-97.100294217	1.733665227
1317753500.000000000	0.099250805	0.002026678	-108.319882889	1.194837964	0.991894472	0.000681186	-14.391012796	0.286862757	0.992046764	0.000769833	-14.397382016	0.287609562	0.098962336	0.002022077	-102.690631621	1.190702911
1331919666.666670000	0.130416782	0.002045034	-111.760558588	0.931154156	0.988198571	0.000881251	-18.761373573	0.291093698	0.988345923	0.000881370	-18.768138595	0.291093518	0.130267519	0.002040745	-107.660934788	0.923964156
1346085833.333330000	0.160456808	0.002066098	-115.495559058	0.777937375	0.983714055	0.001110051	-23.092332941	0.296143023	0.983851162	0.001110186	-23.098815648	0.296143032	0.160451590	0.002062268	-112.349483278	0.768906796
1360252000.000000000	0.189248320	0.002091978	-119.349530494	0.680506951	0.978505700	0.001140753	-27.384117580	0.298978023	0.978645924	0.001140902	-27.390455819	0.298977883	0.189324098	0.002088122	-116.868418576	0.670159782
1374418166.666670000	0.216766241	0.002119779	-123.277932616	0.613962299	0.972734794	0.001170928	-31.630665457	0.301829945	0.972870158	0.001171126	-31.637844221	0.301829321	0.216818675	0.002115796	-121.283462825	0.602702376
1388584333.333330000	0.242872219	0.002137481	-127.258270100	0.564255507	0.966518656	0.001181053	-35.824508558	0.302424877	0.966645051	0.001201456	-35.830651581	0.306360839	0.242854153	0.002159267	-125.633344041	0.557610112
1402750500.000000000	0.267382154	0.002164237	-131.256703749	0.529375691	0.959987920	0.001222373	-39.958619651	0.307467478	0.960123564	0.001222519	-39.961846783	0.307467102	0.267290173	0.002162546	-129.919420529	0.517003754
1416916666.666670000	0.290167167	0.002185130	-135.234741029	0.502413733	0.953333099	0.001252555	-44.035716427	0.310376123	0.953465850	0.001252689	-44.039167113	0.310375534	0.290014415	0.002184321	-134.130688252	0.489411990
1431082833.333330000	0.311163685	0.002204868	-139.160546754	0.481849136	0.946672481	0.001287650	-48.058637573	0.313374749	0.946809304	0.001287782	-48.061791618	0.313374119	0.310980498	0.002204424	-138.247658970	0.468140274
1445249000.000000000	0.330344212	0.002220575	-143.026491163	0.465608268	0.940117517	0.001318587	-52.024081503	0.316330067	0.940255862	0.001318738	-52.026308692	0.316329389	0.330196027	0.002226998	-142.273550297	0.452145375
1459415166.666670000	0.347697114	0.002244743	-146.841571319	0.454314368	0.933827945	0.001341858	-55.931870599	0.319174625	0.933962616	0.001342024	-55.933725636	0.319174156	0.347637586	0.002243394	-146.234324536	0.439014270
1473581333.333330000	0.363176366	0.002266285	-150.620308468	0.445568064	0.927936080	0.001359048	-59.794238392	0.321925130	0.928064672	0.001359222	-59.796806586	0.321924917	0.363204896	0.002260224	-150.150747325	0.429039204
1487747500.000000000	0.376809113	0.002279084	-154.364842213	0.438095067	0.922534939	0.001372012	-63.612243550	0.324601186	0.922681177	0.001372223	-63.615170466	0.324601093	0.376879535	0.002276783	-154.024152083	0.421525864
1501913666.666670000	0.388642247	0.002290913	-158.071021228	0.432485798	0.917668811	0.001383340	-67.387329776	0.327242874	0.917844889	0.001383586	-67.388931642	0.327242585	0.388705902	0.002284533	-157.846075594	0.414982345
1516079833.333330000	0.398745900	0.002294901	-161.744894547	0.427624770	0.913396636	0.001397249	-71.121751845	0.329915913	0.913585181	0.001397498	-71.122390078	0.329915230	0.398789457	0.002294858	-161.618753194	0.410450350
