%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
566946666.666667000	0.246925044	0.002064920	-117.421490859	0.482249704	0.958561467	0.002105059	155.357288336	0.136112010	0.958557952	0.002105050	155.352136781	0.136111786	0.246270757	0.001990051	-114.526521847	0.466137338
581112833.333333000	0.300055185	0.002103705	-122.768321603	0.405542596	0.943314616	0.002101507	149.611501788	0.137883736	0.943304171	0.002101471	149.605340012	0.137883104	0.299361608	0.001998324	-120.209510644	0.386580003
595279000.000000000	0.348771512	0.002141886	-128.056093930	0.356090053	0.926593325	0.002133220	144.042193490	0.142325309	0.926585896	0.002133172	144.036139677	0.142324144	0.348063019	0.002014721	-125.698540691	0.336639806
609445166.666667000	0.392567816	0.002174934	-133.215210955	0.322308969	0.909083587	0.002138166	138.676449333	0.145212810	0.909082646	0.002138151	138.668685097	0.145211517	0.391866990	0.002028875	-130.970087934	0.302371415
623611333.333333000	0.431444294	0.002202124	-138.256700624	0.297487898	0.891402254	0.002105618	133.516643083	0.145576352	0.891384858	0.002105551	133.507637098	0.145575391	0.430754377	0.002030411	-136.068494825	0.276048778
637777500.000000000	0.465808978	0.002212890	-143.153769853	0.277487987	0.874123945	0.002075854	128.548992319	0.146201632	0.874101716	0.002075770	128.538429866	0.146199440	0.465107211	0.002027251	-140.991770254	0.256226704
651943666.666667000	0.495772146	0.002238881	-147.868608090	0.264458207	0.857645478	0.002087685	123.750604932	0.149767618	0.857610444	0.002087567	123.743019015	0.149765789	0.495045504	0.002050816	-145.719218546	0.244625490
666109833.333333000	0.521344671	0.002285427	-152.403643460	0.257703573	0.842551781	0.002089320	119.131548864	0.152532380	0.842500531	0.002089181	119.122606593	0.152531667	0.520617164	0.002092263	-150.271604943	0.238542575
680276000.000000000	0.542842392	0.002315655	-156.818299756	0.251543360	0.829041611	0.002064056	114.664246580	0.153055817	0.829004164	0.002063972	114.655177218	0.153056406	0.542076956	0.002111022	-154.706293669	0.232019939
694442166.666667000	0.560834109	0.002322795	-161.113557769	0.244626477	0.817053382	0.002056238	110.325632269	0.154701925	0.817011720	0.002056130	110.318940493	0.154701692	0.560007886	0.002116512	-159.021008216	0.225777102
708608333.333333000	0.575530506	0.002338698	-165.285450176	0.240555006	0.806873738	0.002078609	106.088507929	0.158473858	0.806822651	0.002078436	106.082306545	0.158470975	0.574625662	0.002139103	-163.209178233	0.223177225
722774500.000000000	0.586760037	0.002351839	-169.367893922	0.237710129	0.798825698	0.002068891	101.944403691	0.159309298	0.798796358	0.002068751	101.940583302	0.159305318	0.585824558	0.002152157	-167.293380294	0.220839553
736940666.666667000	0.594848018	0.002329917	-173.410660068	0.232313312	0.792884321	0.002021869	97.871995650	0.156831264	0.792878027	0.002021817	97.869181751	0.156828701	0.593905473	0.002124683	-171.315473715	0.215279901
