%Frequency (Hz)	S1,1 Mag 	S1,1 u(Mag) 	S1,1 Phase (°)	S1,1 u(Phase) (°)	S2,1 Mag 	S2,1 u(Mag) 	S2,1 Phase (°)	S2,1 u(Phase) (°)	S1,2 Mag 	S1,2 u(Mag) 	S1,2 Phase (°)	S1,2 u(Phase) (°)	S2,2 Mag 	S2,2 u(Mag) 	S2,2 Phase (°)	S2,2 u(Phase) (°)
991931666.666667000	0.123173123	0.001793301	148.441685651	0.834769046	0.861799973	0.002375735	3.839199926	0.165174674	0.861414012	0.002374649	3.856420660	0.165173262	0.084411444	0.001756587	130.961965538	1.192669677
1006097833.333330000	0.103772388	0.001789554	170.363553117	0.988829684	0.861165399	0.002368690	-2.155187295	0.165156041	0.860785405	0.002367694	-2.136492072	0.165159173	0.055666552	0.001748845	167.617690701	1.800549056
1020264000.000000000	0.112524079	0.001800702	-165.623928533	0.918517728	0.857902169	0.002361710	-8.129892610	0.165593849	0.857544633	0.002360825	-8.111686939	0.165600087	0.073970936	0.001761298	-149.430631706	1.365064366
1034430166.666670000	0.142785398	0.001824068	-150.811520345	0.733950613	0.852040194	0.002354721	-14.046671127	0.166486816	0.851672743	0.002353769	-14.029752877	0.166490884	0.117187688	0.001788362	-134.837412913	0.876033359
1048596333.333330000	0.183629661	0.001861316	-144.235580309	0.583030198	0.843805482	0.002353269	-19.885641442	0.168234858	0.843423603	0.002352178	-19.863052692	0.168233161	0.166104475	0.001831170	-131.707583181	0.633868040
1062762500.000000000	0.226799038	0.001915870	-142.320454345	0.487138940	0.833852508	0.002353260	-25.605193141	0.170436949	0.833505450	0.002352203	-25.584396243	0.170432007	0.214117249	0.001892613	-132.560935431	0.509667686
1076928666.666670000	0.267952891	0.001985702	-142.814308547	0.428930356	0.822700311	0.002345372	-31.196164271	0.172290891	0.822375504	0.002344414	-31.176831629	0.172288725	0.258420775	0.001962666	-135.073699990	0.439364755
1091094833.333330000	0.307448007	0.002034984	-144.704880128	0.383737931	0.810423662	0.002331873	-36.640331100	0.173986971	0.810082364	0.002330896	-36.620163676	0.173987304	0.300060382	0.002013414	-138.475887338	0.388803712
1105261000.000000000	0.344977575	0.002074018	-147.378365880	0.349129497	0.797538761	0.002319876	-41.928046328	0.175977915	0.797200666	0.002318818	-41.904907776	0.175972832	0.339048993	0.002059272	-142.283492915	0.352611422
1119427166.666670000	0.378438646	0.002137831	-150.299692072	0.329161568	0.784938120	0.002308996	-47.068697847	0.178060042	0.784615524	0.002307895	-47.046078498	0.178049481	0.373598458	0.002128767	-146.120446753	0.331973008
1133593333.333330000	0.407623846	0.002211207	-153.406940269	0.317576820	0.772800765	0.002296389	-52.062159335	0.179981378	0.772465629	0.002295274	-52.040436120	0.179972960	0.403601649	0.002199915	-150.024716537	0.318992450
1147759500.000000000	0.433638314	0.002255331	-156.798317407	0.305343712	0.761126182	0.002285961	-56.897066264	0.182043492	0.760779293	0.002284793	-56.874817533	0.182034606	0.430232150	0.002245052	-154.078488777	0.306276952
1161925666.666670000	0.456368500	0.002286349	-160.256971860	0.294818868	0.750408660	0.002281571	-61.606904259	0.184465033	0.750074332	0.002280286	-61.582320432	0.184445565	0.453441636	0.002285836	-158.062054742	0.296716040
1176091833.333330000	0.475233768	0.002331205	-163.592864829	0.289925689	0.740944421	0.002296789	-66.223137029	0.188270801	0.740612746	0.002282886	-66.199774726	0.187151858	0.472604160	0.002361800	-161.887816210	0.295318966
1190258000.000000000	0.490449850	0.002382691	-166.984046321	0.287901907	0.732843621	0.002269109	-70.751296998	0.188229349	0.732519122	0.002267924	-70.728069468	0.188215832	0.487979559	0.002376680	-165.776168501	0.288536903
1204424166.666670000	0.502761723	0.002368655	-170.482059702	0.279315494	0.725949808	0.002245226	-75.179930413	0.188155267	0.725642623	0.002244180	-75.155468931	0.188148528	0.500499547	0.002359049	-169.705407483	0.279338866
1218590333.333330000	0.512554125	0.002359604	-173.905558300	0.273381328	0.720454169	0.002229978	-79.547247438	0.188548764	0.720139802	0.002228820	-79.523217816	0.188534803	0.510489253	0.002356616	-173.471515539	0.274094997
1232756500.000000000	0.519141494	0.002403161	-177.226710198	0.275792841	0.716516102	0.002235702	-83.892927061	0.190355967	0.716211639	0.002234511	-83.869182900	0.190337880	0.516990210	0.002401254	-177.140241210	0.276694083
1246922666.666670000	0.522191825	0.002433126	179.410174707	0.278544055	0.714200231	0.002230865	-88.217874356	0.190888296	0.713889699	0.002229736	-88.194977479	0.190876355	0.519741335	0.002425232	179.107655208	0.278844321
1261088833.333330000	0.522713506	0.002403735	176.005507398	0.275041962	0.713330013	0.002216894	-92.523899891	0.190211592	0.713014094	0.002215717	-92.499836194	0.190196733	0.520181285	0.002400144	175.349742047	0.275943907
